127.0.0.1 - - [20/Dec/2014:21:13:47 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:50 +0700] "GET /HF_AJAX/ HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:50 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:50 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/registration.html HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/scripts/utils.js HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/css/movies.css HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/scripts/validation.js HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/images/bgBody.png HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/images/status.gif HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:13:57 +0700] "GET /HF_AJAX/images/bgContent.jpg HTTP/1.1" 200 48657
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:14:00 +0700] "GET /HF_AJAX/checkName?username=ted HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:14:03 +0700] "GET /HF_AJAX/checkName?username=ted HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:14:03 +0700] "GET /HF_AJAX/checkName?username=ted HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:14:07 +0700] "GET /HF_AJAX/checkName?username=hoangnv HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:22:59 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Dec/2014:21:22:59 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
